Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,NEW_SMILES
CHEMBL551578,,0,410.46,1,-1.34,1j,COC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1,IC50,'=',4000.0,nM,5.4,,,UO_0000065,13.15,0.26,6.74,3.42,0,CHEMBL1036444,Inhibition of human recombinant DNMT1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1151876,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,None,,COC(=O)C1CC(SCC2OC(n3cnc4c(=N)[nH]cnc43)C(O)C2O)CN1
CHEMBL555257,,0,576.68,2,2.32,7a,O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)[C@H](O)[C@@H]2O)CN1,IC50,'=',3700.0,nM,5.43,,,UO_0000065,9.42,0.18,3.11,3.51,0,CHEMBL1036444,Inhibition of human recombinant DNMT1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1151876,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,None,,O=C(O)C1CC(SCC2OC(n3cnc4c(=NCCc5ccc(-c6ccccc6)cc5)[nH]cnc43)C(O)C2O)CN1
CHEMBL1368108,,0,396.45,0,1.73,SID26725174,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)C(=C)C)C3)c1,IC50,'=',4950.0,nM,5.3,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C(=C)C)C3)c1
CHEMBL1434555,,0,347.42,0,3.5,SID56422357,Cc1ccc(NC(=O)CN(C)C(=O)c2cccc(-n3cccc3)c2)cc1,IC50,'=',9260.0,nM,5.03,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,Cc1ccc(NC(=O)CN(C)C(=O)c2cccc(-n3cccc3)c2)cc1
CHEMBL2204995,,0,541.7,1,4.31,"6, GSK343",CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0,CHEMBL2209119,Inhibition of DNMT1 using polydi-dc as substrate preincubated for 10 mins followed by addition of [3H]SAM and incubated for 60 mins,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2202955,1,Scientific Literature,ACS Med. Chem. Lett.,2012.0,None,,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C
CHEMBL640,PROCAINAMIDE,4,235.33,0,1.34,8,CCN(CC)CCNC(=O)c1ccc(N)cc1,IC50,'>',500000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3418012,Inhibition of His6-tagged human recombinant DNMT1 expressed in insect Sf9 cells assessed as reduction in DNA methyltransferase activity using 5'-biotinylated 45-bp unmethylated or hemimethylated oligonucleotide substrates and [3H]-AdoMet by liquid scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3414469,1,Scientific Literature,J. Med. Chem.,2015.0,CHEMBL3308860,,CCN(CC)CCNC(=O)c1ccc(N)cc1
CHEMBL563782,,0,366.45,0,-0.49,10a,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC[C@@H]2CCCN2)[C@@H](O)[C@H]1O,IC50,'=',19000.0,nM,4.72,,,UO_0000065,12.88,0.26,5.21,3.59,0,CHEMBL1036444,Inhibition of human recombinant DNMT1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1151876,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,None,,N=c1[nH]cnc2c1ncn2C1OC(CSCC2CCCN2)C(O)C1O
CHEMBL538693,,0,340.41,0,-0.89,13,NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,IC50,'>',45000.0,nM,,,,UO_0000065,,,,,0,CHEMBL1036444,Inhibition of human recombinant DNMT1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1151876,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,None,,N=c1[nH]cnc2c1ncn2C1OC(CSCCCN)C(O)C1O
CHEMBL538627,,0,386.87,0,-0.22,1f,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O,IC50,'=',36000.0,nM,4.44,,,UO_0000065,11.49,0.24,4.66,3.38,0,CHEMBL1036444,Inhibition of human recombinant DNMT1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1151876,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,None,,N=c1[nH]c(Cl)nc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
CHEMBL551174,,0,532.67,1,2.86,7c,O[C@@H]1[C@@H](CS[C@H]2CCNC2)O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)[C@@H]1O,IC50,'=',15000.0,nM,4.82,,,UO_0000065,9.06,0.17,1.96,4.11,0,CHEMBL1036444,Inhibition of human recombinant DNMT1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1151876,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,None,,OC1C(CSC2CCNC2)OC(n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]cnc32)C1O
CHEMBL115145,,0,288.25,0,2.08,NSC-14778,O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O,IC50,'=',92000.0,nM,4.04,,,UO_0000065,14.0,0.26,1.96,3.51,0,CHEMBL1072866,Inhibition of human recombinant DNMT1 expressed in baculovirus-insect cell system by scintillation counting,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157722,1,Scientific Literature,Bioorg. Med. Chem.,2010.0,None,,O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O
CHEMBL4205107,,0,425.53,0,4.08,9,COc1cc2c(NCCO)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',781.0,nM,6.11,,,UO_0000065,14.35,0.27,2.03,7.64,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NCCO)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4217332,,0,492.62,0,4.71,11,COc1cc2c(NC3CCN(C)C(=O)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',297.0,nM,6.53,,,UO_0000065,13.25,0.25,1.82,8.15,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCN(C)C(=O)C3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4162206,,0,508.75,2,6.44,11,COc1cc2c(NC3CCN(C(C)C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,IC50,'=',619.0,nM,6.21,,,UO_0000065,12.2,0.23,-0.23,12.45,0,CHEMBL4137467,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4130634,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCN(C(C)C)CC3)cc(C3CCCCC3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4174724,,0,474.65,1,5.28,23g,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3)nc2cc1OCCCN1CCCC1,IC50,'=',1050.0,nM,5.98,,,UO_0000065,12.6,0.23,0.7,11.99,0,CHEMBL4137467,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4130634,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccccc3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4175132,,0,488.68,1,5.59,23h,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3C)nc2cc1OCCCN1CCCC1,IC50,'=',582.0,nM,6.24,,,UO_0000065,12.76,0.24,0.65,12.51,0,CHEMBL4137467,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4130634,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccccc3C)[nH]c2cc1OCCCN1CCCC1
CHEMBL4175084,,0,494.64,0,4.37,34d,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(CO)o3)nc2cc1OCCCN1CCCC1,IC50,'=',759.0,nM,6.12,,,UO_0000065,12.37,0.23,1.75,7.35,0,CHEMBL4137467,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4130634,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(CO)o3)[nH]c2cc1OCCCN1CCCC1
CHEMBL1546750,,0,324.42,0,3.92,SID7975075,Cc1cccc(OCC(=O)Nc2ccc(N3CCCC3)cc2)c1C,IC50,'>',99000.0,nM,,,inactive,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,Cc1cccc(OCC(=O)Nc2ccc(N3CCCC3)cc2)c1C
CHEMBL1330058,,0,343.34,0,4.02,SID4254748,O=C(Oc1ccc(-c2nc(-c3ccccn3)no2)cc1)c1ccccc1,IC50,'>',99000.0,nM,,,inactive,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,O=C(Oc1ccc(-c2nc(-c3ccccn3)no2)cc1)c1ccccc1
CHEMBL3109078,,0,348.4,0,3.33,"17 (2R,3S)",O=C(O)[C@H]1[C@@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccccc1,IC50,'=',73000.0,nM,4.14,,,UO_0000065,11.87,0.22,0.81,5.64,0,CHEMBL3111348,Inhibition of human recombinant DNMT1 expressed in H19 cells assessed as inhibition of tritiated methyl incorporation from [3H]-labeled AdoMet into hemimethylated DNA duplex after 2 hrs by liquid scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,H19,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3108732,1,Scientific Literature,J. Med. Chem.,2014.0,None,,O=C(O)C1C(Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccccc1
CHEMBL1520133,,0,459.53,1,6.38,SID22411460,CN(c1ccccc1)c1ccc(/C=C(\CCC(=O)O)c2nc3ccccc3s2)cc1[N+](=O)[O-],IC50,'=',5340.0,nM,5.27,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,CN(c1ccccc1)c1ccc(C=C(CCC(=O)O)c2nc3ccccc3s2)cc1[N+](=O)[O-]
CHEMBL1505688,,0,483.64,1,5.45,SID24836019,O=C(O)CCCCCN1C(=O)/C(=C\c2cn(-c3ccccc3)nc2-c2cccs2)SC1=S,IC50,'=',6970.0,nM,5.16,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,O=C(O)CCCCCN1C(=O)C(=Cc2cn(-c3ccccc3)nc2-c2cccs2)SC1=S
CHEMBL3318285,,0,413.57,0,3.93,"1, UNC0379",COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0,CHEMBL3378780,Inhibition of DNMT1 (unknown origin) assessed as using dsDNA substrate by radioactive assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3351294,1,Scientific Literature,J. Med. Chem.,2014.0,None,,COc1cc2[nH]c(N3CCCC3)nc(=NCCCCCN3CCCC3)c2cc1OC
CHEMBL4214834,,0,532.61,2,6.07,32,Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC(F)(F)F)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',2080.0,nM,5.68,,,UO_0000065,10.67,0.2,-0.39,9.02,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,Cc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC(F)(F)F)c(OCCCN4CCCC4)cc3[nH]2)o1
CHEMBL4212380,,0,508.66,1,4.67,38,CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCOCC4)cc3n2)o1,IC50,'=',446.0,nM,6.35,,,UO_0000065,12.49,0.23,1.68,8.79,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,CCc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCOCC4)cc3[nH]2)o1
CHEMBL4216593,,0,544.74,2,6.35,49,COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2,IC50,'=',187.0,nM,6.73,,,UO_0000065,12.35,0.23,0.38,10.68,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C)C2
CHEMBL3263626,,0,376.46,0,0.72,4d,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CC(N)CC2CCCCC2)[C@@H](O)[C@H]1O,IC50,'=',179000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3266276,Inhibition of DNMT1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3259565,1,Scientific Literature,ACS Med. Chem. Lett.,2014.0,None,,N=c1[nH]cnc2c1ncn2C1OC(CC(N)CC2CCCCC2)C(O)C1O
CHEMBL4216144,,0,504.68,2,5.57,19,COc1cc2c(NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',201.0,nM,6.7,,,UO_0000065,13.27,0.25,1.13,10.63,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4208812,,0,518.7,2,5.96,20,COc1cc2c(NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',123.0,nM,6.91,,,UO_0000065,13.32,0.25,0.95,10.97,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4649221,,0,501.47,1,3.73,8,Cc1ccc2c(n1)N(CC(=O)Nc1ccc3c(c1)OCO3)CC(c1nc(-c3cccc(F)c3)no1)C2=O,IC50,'=',28500.0,nM,4.54,,,UO_0000065,9.06,0.17,0.82,3.8,0,CHEMBL4606698,Inhibition of human recombinant DNMT1 expressed in baculovirus infected insect cells using CpG site containing internally quenched hairpin oligonucleotide DNA substrate and SAM incubated for 30 mins by kinetic fluorogenic assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4602737,1,Scientific Literature,ACS Med Chem Lett,2020.0,None,,Cc1ccc2c(n1)N(CC(=O)Nc1ccc3c(c1)OCO3)CC(c1nc(-c3cccc(F)c3)no1)C2=O
CHEMBL4641323,,0,397.46,0,3.57,16,Cc1nccc(-c2cccc(NS(=O)(=O)c3cc(C(=O)O)cc(C)c3C)c2)n1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4606698,Inhibition of human recombinant DNMT1 expressed in baculovirus infected insect cells using CpG site containing internally quenched hairpin oligonucleotide DNA substrate and SAM incubated for 30 mins by kinetic fluorogenic assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4602737,1,Scientific Literature,ACS Med Chem Lett,2020.0,None,,Cc1nccc(-c2cccc(NS(=O)(=O)c3cc(C(=O)O)cc(C)c3C)c2)n1
CHEMBL4217087,,0,492.66,1,5.21,27,COc1cc2c(N(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',1320.0,nM,5.88,,,UO_0000065,11.93,0.22,0.67,10.85,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(N(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1
CHEMBL4211622,,0,421.54,1,5.25,7,COc1cc2c(NC3CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',1030.0,nM,5.99,,,UO_0000065,14.2,0.26,0.74,10.02,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4216799,,0,449.6,1,6.03,8,COc1cc2c(NC3CCCC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',1790.0,nM,5.75,,,UO_0000065,12.78,0.24,-0.28,9.62,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCCC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4210910,,0,502.66,2,5.32,45,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C1CC1)C2,IC50,'=',494.0,nM,6.31,,,UO_0000065,12.55,0.23,0.99,10.01,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C1CC1)C2
CHEMBL4212375,,0,466.58,0,4.22,10,CNC(=O)CCNc1cc(-c2ccc(C)o2)nc2cc(OCCCN3CCCC3)c(OC)cc12,IC50,'=',1080.0,nM,5.97,,,UO_0000065,12.79,0.24,1.75,6.71,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,CNC(=O)CCN=c1cc(-c2ccc(C)o2)[nH]c2cc(OCCCN3CCCC3)c(OC)cc12
CHEMBL4212218,,0,504.68,2,5.57,22,COc1cc2c(NC3CCC34CCN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',290.0,nM,6.54,,,UO_0000065,12.95,0.24,0.97,10.38,0,CHEMBL4195563,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190398,1,Scientific Literature,J Med Chem,2018.0,None,,COc1cc2c(=NC3CCC34CCN(C)C4)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1
